_id,objectid,fld_ar_id,fld_zone,floodway,sfha_tf,static_bfe,v_datum,depth,len_unit,velocity,vel_unit,ar_revert,bfe_revert,dep_revert,source_cit,global_id,shape_length,shape_area
5191,97,1434,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,816a53e3-17c1-4eed-8838-7254cc4712af,8291.43547218334,183229.015625
5192,98,1436,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,53f2eaa3-b5cc-4f53-af27-ac8473bf23d5,1876.18038564244,17389.7421875
5193,99,1488,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,918a2cc0-14b6-42aa-9314-3a3774598b79,526.061660449758,16640.39453125
5194,100,1814,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,9d20e97e-358c-4df0-aebb-f2123e249c25,32.8323668607839,10.06640625
5195,102,1476,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,b8f484a5-f0bc-4b7b-a9bd-295f857b2500,8993.92063214601,313458.8203125
5196,103,1477,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,a1d9bc40-f3b9-4cfd-a9cc-d6dbe20ddab6,8858.53082689006,286422.55859375
5197,104,1523,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,20d2e0ba-6a8f-4588-8f96-3fe9ca97986c,460.786875906953,622.04296875
5198,105,1482,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1a6570eb-73f0-4033-8828-2fabc38d2404,2854.79073263262,7820.5234375
5199,106,1508,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,eeb0d07f-3d8c-4af0-9126-0bb6a46a4a11,282.254060428344,474.37109375
5200,107,1815,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3694c592-d150-4e5e-80e5-4dcb6c541a20,26.2651776907948,8.80078125
5201,108,1536,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,a3cbc8bc-62f0-4465-85d9-5c6757d03975,166.689345371867,104.55859375
5202,109,1539,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,daec225d-4ab1-4152-90f4-e45155e5fa5f,87.8854852084551,56.5859375
5203,110,1540,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,149dba41-6c76-4b91-982c-da9e45d3f1f4,59.0875178205993,55.03125
5204,111,1547,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,070b8a86-38f4-487d-bffa-c220f823e39e,70.248693572206,41.2734375
5205,112,1484,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,fd94972e-5a8b-4b05-b5be-9c2faaeedca5,5326.98134649049,34421.078125
5206,113,1495,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,d29d77d6-f7fd-4433-902b-a70a20ed88fb,1779.71396953282,9584.49609375
5207,114,1496,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,47a6e5e8-12d1-4e97-a5a7-43458d56f863,1960.14303564708,6546.97265625
5208,115,1497,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,bbab5cd8-667a-4960-a8c1-3ed9e7d00082,1285.20696071101,6399.8046875
